Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,-0.0808317456187955,0.047731448012110246,0.05379053822448738,-0.4043582883383373,0.5839335136013258,0.34918102924510136,-0.6270198912550248,0.08937445837919318
FC_Cl_Cl,-0.07628057442818222,0.04824713035843645,0.08758985446898514,-0.17244037323710493,-0.3176889695745901,-0.23758968111067574,0.6223307309512952,-0.09228830269977076
FC1_C_F_C_C_C1_F_F__F_F__F_F,-0.08782129163299458,0.27072722834488394,0.06231933765066906,-0.2206311088425554,1.3772455471705976,1.1215755948938948,-1.374295029770955,0.5580643819629203
FC_SC_F__F_F__F_F,-0.07911899512126255,0.146153107253797,0.013768357213479342,-0.2989410542014136,0.4429645696476408,0.599586364237694,-0.7437816316481384,0.25771528364569984
FC__N____O__O-___F_F,-0.07814745515249008,-0.049879853256778135,0.11459771931856037,-0.16942845226176376,0.10935184891267329,-0.08684816104050803,0.15528376937883936,-0.1635001050427245
CC_Cl_Cl,-0.08943186591277781,0.1826192160297213,0.22341888236743393,-0.3170125800534573,0.17673583091986003,-0.28679868972862316,0.8208256896195892,0.13176243596428475
FC1_C_F_C_C1_F_F__F_F,-0.08305884080567853,0.12213704369631949,0.11965182268222356,-0.22665495079323708,0.8241181365839979,0.4986767516287389,-0.6970769354908927,0.20200537024815096
FC__C_F_F_Cl,-0.07573852093401863,0.03093493730319968,-0.03479841729672185,-0.6585644186570908,-0.015494547198801579,-0.06816119574255333,0.15528376937883936,-0.07920858390208518
_C-___O__,-0.07029374078817077,-0.2882724350727198,-0.1068509783749455,0.7251120774144189,-0.516533726295184,-1.1705675685532264,1.2411679550348,-0.7417932278107598
FC_I__F_F,-0.07756903385200878,-0.22690623585990172,0.14618586534145547,0.5594564237706815,0.36069823578610605,-0.6599150968444517,0.42383577228300157,-0.5348187886881268
FC_F__F_F,-0.07451760172192486,-0.2216020745834036,-0.11789103540994736,0.8124577856992987,-0.1564634911524867,-0.42321353640369225,0.1202552472609052,-0.4725690158917351
CI,-0.08475080969960139,-0.24252404406292388,-0.11789103540994736,0.25224048428593154,0.30778320697064654,-1.3322721082648612,1.2995488252313565,-0.6857199888910527
CH2Cl2,-0.07914324032547436,0.038596503591474686,0.14855497629317263,-0.24472647664528083,-0.32802393614010944,-0.46145952538017304,0.9142350819340804,-0.13952062058030126
N_CC_F__F_F,-0.07662173908744814,-0.08030511169002412,0.0812722252644061,0.544396818893978,0.12216720745391736,-0.33575853880926443,0.27204550977195335,-0.22550766082434434
FC_C_Cl__F_F__Cl_Cl,-0.07696636734731573,0.3304727116121055,0.04194498346590176,-0.024856245445411315,0.1531721071504757,0.8151093640074382,-0.24170614795774825,0.5302094252641457
CC_N,-0.08497940733931252,-0.10321614164823112,0.5224006844741357,0.044417936987424474,0.09446949705832529,-1.0081155502296744,1.1477585627203084,-0.3948173541499385
_H__H_,-0.07211559470465671,-0.3703985321704985,-0.11789103540994736,1.0805187525046194,-0.7627953096183814,-1.4944002191899166,1.381282043506536,-0.9821936149719221
FCF,-0.08033645073275462,-0.235157153401121,0.20099129869117852,0.23718087940922847,-0.20937851996794632,-0.8714515440172991,0.7040639492264751,-0.5928297637260094
C,-0.08475773690080475,-0.24252404406292388,-0.11789103540994736,0.25224048428593154,-0.23294224373733055,-1.3196895516309053,1.2878726511920455,-0.6858410973984386
FC_C_F__F_F__Cl_F,-0.07828599917655746,0.0618022091761538,-0.025069268321670144,0.16188285502571137,0.29414105110416083,0.4052419251389653,-0.45187728066535343,0.12207375537340666
N_CC_C_F__F_F__F_F,-0.0810741976609134,0.06850607967839444,0.08632632862806931,0.13477556624764525,0.6459433129944425,0.28689114491858586,-0.4051725845081077,0.15719522251533977
_N-___N___O,-0.07253469037746053,-0.22034970317089717,-0.10397487767956089,0.3395861925708116,-0.487182421249109,-0.9712399387083767,1.1477585627203084,-0.6313422690747494
CC_F__F_F,-0.08745761356981774,-0.09901701397100346,0.2687478719102884,0.16790669697639252,0.33134693074003085,-0.4725471247902927,0.318750205929199,-0.25493702811913627
FC_C_CC_F__F_F__F_F,-0.08214618204713472,0.16523335406786646,-0.11789103540994736,0.0835729096668536,0.8319727111737925,0.4986767516287389,-0.6970769354908927,0.3073697716739499
FC_Cl_F,-0.07690402253648539,-0.09135544768272844,0.11744065246062094,0.059477541864128146,-0.2507183862300239,-0.44239882077625925,0.5172451645974927,-0.3117369180831591
FC_C_Cl__F_F__Cl_F,-0.07760713345862734,0.19551127468787638,0.01943842942458902,-0.1182257956809721,0.22220968380814562,0.6095527457299367,-0.3467917143115509,0.3279582179295658
FC_C_F__F_F__Cl_Cl,-0.0776417694646442,0.19904738220554172,-0.0029101838866092645,-0.09111850690290606,0.22593027177173242,0.6095527457299367,-0.3467917143115509,0.32674713285570617
CBr,-0.08197992921825388,-0.035072403026554275,0.19451572875648493,-0.3471317898068645,-0.29949942841927585,-0.3367551769584888,0.8908827338554571,-0.3171868009155281
O_S_O,-0.07093104329888067,-0.15279531580216457,0.15771553863981214,0.14983517112434833,-0.5412963061861686,-0.7214575025590492,1.0309968223271941,-0.508053808555826
FS_C_F__F_F__F__F__F_F,-0.07997969987078113,0.08721798195937376,0.02218659812858087,0.41789613792966923,0.31853157219878675,0.9234937627355755,-1.2808856374564634,0.20079428517429115
O_C_S,-0.07181945685321277,-0.06284558082155124,0.010040955982777728,-0.16942845226176376,-0.38465955291915604,-0.7711648302516085,1.054349170405817,-0.3944540286277807
N_N,-0.07051194762607685,-0.30109082482425686,-0.11789103540994736,1.2100313544442691,-0.5650667292868632,-1.1705675685532264,1.2411679550348,-0.7507552573573218
O_O,-0.06983169646790606,-0.32451753712879017,-0.11789103540994736,-0.25677416054664376,-0.8043832150780315,-1.1208602408606676,1.2178156069561763,-0.8025896985185196
FC_Cl__Cl_F,-0.07313042968095025,0.05259359584890016,-0.03258724707511918,-0.0760589020262029,-0.302806617720242,-0.013346097535219481,0.33042637996851043,-0.0445715507896961
ClC_Cl_Cl,-0.07567790792348913,0.18917574871872594,0.053632597494372936,-0.23870263469459954,-0.38052556629294804,-0.03203306283317419,0.7274162973050978,0.12086267029954703
FC_Br__F_F,-0.07358069775916924,-0.013561082294089833,-0.03279257002426803,-0.07907082300154358,-0.2544389741936111,0.33547725469326795,0.01516968090710259,-0.1593824157916013
ClC_Cl__Cl_Cl,-0.0718662154613355,0.33636622414154776,-0.11789103540994736,-0.2236430298178964,-0.4417085683608235,0.39652134133325345,0.5405975126761154,0.3715572805885173
CC_Cl__Cl_Cl,-0.08574313127198395,0.3282626444135646,0.17935341866549534,-0.3832748415109526,0.12299400477915891,0.14237861328106957,0.634006904990607,0.38730138654869367
CCl,-0.0822102586582659,-0.10977267433723568,0.19593719532751525,-0.16942845226176376,-0.28006969127609926,-0.8906368283898656,1.1010538665630627,-0.4154058004055544
FC_Cl__F_F,-0.07382488160158798,-0.08781934016506301,-0.04029475470470557,0.17091861795173321,-0.2304618517616059,-0.2176569181261909,0.22534081361470784,-0.25711698125208404
ClP_Cl_Cl,-0.07016628028602873,0.33636622414154776,-0.002215244674105568,-0.5784473207130286,-0.5704409119009334,0.190964723055752,0.634006904990607,0.26013745379341924
SF6,-0.07583723355116659,-0.08612495531284839,-0.11789103540994736,0.7371597613157819,-0.1994569520650476,0.2993491217838888,-0.6036675431764014,-0.17621649831825195
FS__O___O_C_F__F_F,-0.07810935554587158,0.05782408821878021,0.1043315718611195,0.15887093405037075,0.20567373730331448,0.3753427806622378,-0.2533823219970595,0.05788624645883949
FC_Br__Cl_F,-0.07291915004424754,0.13112465030371903,-0.02909675693958928,-0.24171455566994018,-0.3259569428270055,0.5410338729707697,0.1202552472609052,0.05425299123726023
FC_F_F,-0.07756903385200878,-0.22690623585990172,0.14618586534145547,0.5594564237706815,-0.18002721492187107,-0.6473325402104955,0.4121595982436902,-0.5346976801807409
FC_Cl__Cl_Cl,-0.07248619996903698,0.19470091671507803,-0.04580688618570078,-0.1573807683604012,-0.37349778902839503,0.192210520742282,0.4355119463223129,0.1656728180323581
O_C_O,-0.07271999300965071,-0.24628115830044336,-0.11789103540994736,0.6016233174254507,-0.29329844847996406,-0.9712399387083767,1.1477585627203084,-0.654352885478085
C_C,-0.07817343215700272,-0.1750433256008094,-0.11789103540994736,-0.1754522942124455,-0.2697347247105798,-1.1951097829778736,1.2411679550348,-0.5661858921010946
FC_C_F__F_F__F_F,-0.07896313309418675,-0.07352757228116542,-0.11789103540994736,0.1889901438037775,0.3652456210749347,0.19968530686146382,-0.5569628470191558,-0.08829172195603338
FS__O_F,-0.071739794039374,-0.13378873789471316,0.16261170127336094,0.16188285502571137,-0.4561775215525506,-0.4473820115223805,0.5172451645974927,-0.42400450442995874
C_CC_F__F_F,-0.08939722990676092,0.024083728987722975,0.28864840390471225,-0.25376223957130317,0.5719449523853232,-0.3229268226380023,0.2486931616933306,-0.05753016107999564
Cl2,-0.06890622238713594,-0.10741526932545874,-0.11789103540994736,-0.10316619080426903,-0.857256904027229,-0.6362449408003759,1.0076444742485715,-0.42182455129701113
SeF6,-0.0744898929171114,-0.024685087193412197,-0.11789103540994736,1.541342661731744,-0.23624943303829685,0.8848740344531357,-0.8138386758840065,-0.09519490687703411
FC__C_F_F_C__C_F_F_F,-0.08265359953528147,0.22254776341669302,-0.11386038797742591,-0.8700012711260066,0.8071687914165458,0.4986767516287389,-0.6970769354908927,0.26377070901499866
F_C__C__C_F__F_F__F__C_F__F_F,-0.08523225018323553,0.19993140908495807,-0.061032372568736205,-0.2989410542014136,1.11763118704475,0.9720798725102577,-1.3042379855350859,0.46602191634957835
ClSSCl,-0.07006895310912142,0.42845235741408405,0.0632669820313559,-0.6950086624587133,-0.6269525090811934,0.16231137626555445,0.634006904990607,0.28435915527061456
